genre,count,type
Sports Movies,635,Movie
Independent Movies,626,Movie
Music & Musicals,625,Movie
Korean TV Shows,621,Movie
Comedy,617,Movie
Stand-Up Comedy,610,Movie
Horror,608,Movie
Teen TV Shows,599,Movie
International Movies,595,Movie
Action & Adventure,593,Movie
Horror,282,TV Show
Sports Movies,271,TV Show
British TV Shows,270,TV Show
Teen TV Shows,270,TV Show
Reality TV,269,TV Show
Science & Nature TV,268,TV Show
Korean TV Shows,266,TV Show
Documentaries,263,TV Show
Music & Musicals,259,TV Show
Action & Adventure,257,TV Show
