release_year,type,count
2000,Movie,53
2000,TV Show,32
2001,Movie,50
2001,TV Show,29
2002,Movie,55
2002,TV Show,22
2003,Movie,45
2003,TV Show,19
2004,Movie,51
2004,TV Show,14
2005,TV Show,54
2005,Movie,103
2006,Movie,87
2006,TV Show,52
2007,Movie,101
2007,TV Show,42
2008,Movie,182
2008,TV Show,51
2009,Movie,150
2009,TV Show,54
2010,TV Show,69
2010,Movie,135
2011,TV Show,78
2011,Movie,177
2012,Movie,238
2012,TV Show,96
2013,Movie,264
2013,TV Show,117
2014,Movie,348
2014,TV Show,132
2015,Movie,413
2015,TV Show,156
2016,Movie,460
2016,TV Show,213
2017,TV Show,211
2017,Movie,498
2018,Movie,541
2018,TV Show,214
2019,Movie,602
2019,TV Show,243
2020,Movie,555
2020,TV Show,273
2021,Movie,473
2021,TV Show,213
2022,Movie,365
2022,TV Show,170
