added_year,type,count
2000,Movie,49
2000,TV Show,29
2001,Movie,50
2001,TV Show,28
2002,Movie,51
2002,TV Show,22
2003,Movie,42
2003,TV Show,19
2004,Movie,48
2004,TV Show,12
2005,TV Show,50
2005,Movie,95
2006,Movie,79
2006,TV Show,48
2007,Movie,100
2007,TV Show,39
2008,Movie,166
2008,TV Show,42
2009,Movie,140
2009,TV Show,48
2010,TV Show,64
2010,Movie,125
2011,TV Show,73
2011,Movie,163
2012,Movie,215
2012,TV Show,91
2013,Movie,250
2013,TV Show,112
2014,Movie,321
2014,TV Show,117
2015,Movie,382
2015,TV Show,144
2016,Movie,421
2016,TV Show,191
2017,TV Show,189
2017,Movie,469
2018,Movie,499
2018,TV Show,200
2019,Movie,569
2019,TV Show,231
2020,Movie,505
2020,TV Show,250
2021,Movie,445
2021,TV Show,202
2022,Movie,338
2022,TV Show,160
